"uf","litigante","processos"
"AC","HELIO HIRASAWA","0"
"AC","ALBERTO CAVALCANTE BRAGA","15"
"AC","UNIAO","56"
"AC","ROBERTO MAIA","0"
"AC","PROCURADORIA-GERAL FEDERAL","0"
"AC","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"AC","CAIXA ECONOMICA FEDERAL - CEF","28"
"AC","ALBERTO CAVALCANTE BRAGA ","0"
"AC","PROCURADORIA-GERAL FEDERAL ","0"
"AC","ADVOGADO-GERAL DA UNIAO","56"
"AC","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1"
"AL","HELIO HIRASAWA","0"
"AL","ALBERTO CAVALCANTE BRAGA","4"
"AL","UNIAO","81"
"AL","ROBERTO MAIA","0"
"AL","PROCURADORIA-GERAL FEDERAL","1"
"AL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"AL","CAIXA ECONOMICA FEDERAL - CEF","421"
"AL","ALBERTO CAVALCANTE BRAGA ","0"
"AL","PROCURADORIA-GERAL FEDERAL ","0"
"AL","ADVOGADO-GERAL DA UNIAO","114"
"AL","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","51"
"AM","HELIO HIRASAWA","0"
"AM","ALBERTO CAVALCANTE BRAGA","13"
"AM","UNIAO","127"
"AM","ROBERTO MAIA","0"
"AM","PROCURADORIA-GERAL FEDERAL","0"
"AM","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"AM","CAIXA ECONOMICA FEDERAL - CEF","43"
"AM","ALBERTO CAVALCANTE BRAGA ","0"
"AM","PROCURADORIA-GERAL FEDERAL ","0"
"AM","ADVOGADO-GERAL DA UNIAO","132"
"AM","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","57"
"AP","HELIO HIRASAWA","0"
"AP","ALBERTO CAVALCANTE BRAGA","13"
"AP","UNIAO","20"
"AP","ROBERTO MAIA","0"
"AP","PROCURADORIA-GERAL FEDERAL","0"
"AP","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"AP","CAIXA ECONOMICA FEDERAL - CEF","45"
"AP","ALBERTO CAVALCANTE BRAGA ","0"
"AP","PROCURADORIA-GERAL FEDERAL ","0"
"AP","ADVOGADO-GERAL DA UNIAO","20"
"AP","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","0"
"BA","HELIO HIRASAWA","0"
"BA","ALBERTO CAVALCANTE BRAGA","430"
"BA","UNIAO","340"
"BA","ROBERTO MAIA","0"
"BA","PROCURADORIA-GERAL FEDERAL","1"
"BA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"BA","CAIXA ECONOMICA FEDERAL - CEF","1692"
"BA","ALBERTO CAVALCANTE BRAGA ","0"
"BA","PROCURADORIA-GERAL FEDERAL ","0"
"BA","ADVOGADO-GERAL DA UNIAO","183"
"BA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","103"
"CE","HELIO HIRASAWA","0"
"CE","ALBERTO CAVALCANTE BRAGA","0"
"CE","UNIAO","162"
"CE","ROBERTO MAIA","0"
"CE","PROCURADORIA-GERAL FEDERAL","15"
"CE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","5"
"CE","CAIXA ECONOMICA FEDERAL - CEF","430"
"CE","ALBERTO CAVALCANTE BRAGA ","0"
"CE","PROCURADORIA-GERAL FEDERAL ","0"
"CE","ADVOGADO-GERAL DA UNIAO","141"
"CE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","130"
"DF","HELIO HIRASAWA","0"
"DF","ALBERTO CAVALCANTE BRAGA","321"
"DF","UNIAO","2495"
"DF","ROBERTO MAIA","0"
"DF","PROCURADORIA-GERAL FEDERAL","5"
"DF","PROCURADORIA-GERAL DA FAZENDA NACIONAL","3"
"DF","CAIXA ECONOMICA FEDERAL - CEF","1193"
"DF","ALBERTO CAVALCANTE BRAGA ","0"
"DF","PROCURADORIA-GERAL FEDERAL ","0"
"DF","ADVOGADO-GERAL DA UNIAO","2412"
"DF","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","213"
"ES","HELIO HIRASAWA","0"
"ES","ALBERTO CAVALCANTE BRAGA","0"
"ES","UNIAO","57"
"ES","ROBERTO MAIA","0"
"ES","PROCURADORIA-GERAL FEDERAL","0"
"ES","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"ES","CAIXA ECONOMICA FEDERAL - CEF","186"
"ES","ALBERTO CAVALCANTE BRAGA ","0"
"ES","PROCURADORIA-GERAL FEDERAL ","0"
"ES","ADVOGADO-GERAL DA UNIAO","46"
"ES","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","34"
"GO","HELIO HIRASAWA","0"
"GO","ALBERTO CAVALCANTE BRAGA","98"
"GO","UNIAO","128"
"GO","ROBERTO MAIA","0"
