"uf","litigante","processos"
"AC","HELIO HIRASAWA","0"
"AC","ALBERTO CAVALCANTE BRAGA","7"
"AC","UNIAO","16"
"AC","ROBERTO MAIA","0"
"AC","PROCURADORIA-GERAL FEDERAL","0"
"AC","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"AC","CAIXA ECONOMICA FEDERAL - CEF","35"
"AC","ALBERTO CAVALCANTE BRAGA ","0"
"AC","PROCURADORIA-GERAL FEDERAL ","0"
"AC","ADVOGADO-GERAL DA UNIAO","17"
"AC","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","0"
"AL","HELIO HIRASAWA","0"
"AL","ALBERTO CAVALCANTE BRAGA","0"
"AL","UNIAO","114"
"AL","ROBERTO MAIA","1"
"AL","PROCURADORIA-GERAL FEDERAL","0"
"AL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"AL","CAIXA ECONOMICA FEDERAL - CEF","359"
"AL","ALBERTO CAVALCANTE BRAGA ","0"
"AL","PROCURADORIA-GERAL FEDERAL ","0"
"AL","ADVOGADO-GERAL DA UNIAO","160"
"AL","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","16"
"AM","HELIO HIRASAWA","0"
"AM","ALBERTO CAVALCANTE BRAGA","12"
"AM","UNIAO","160"
"AM","ROBERTO MAIA","0"
"AM","PROCURADORIA-GERAL FEDERAL","0"
"AM","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"AM","CAIXA ECONOMICA FEDERAL - CEF","58"
"AM","ALBERTO CAVALCANTE BRAGA ","0"
"AM","PROCURADORIA-GERAL FEDERAL ","0"
"AM","ADVOGADO-GERAL DA UNIAO","192"
"AM","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","67"
"AP","HELIO HIRASAWA","0"
"AP","ALBERTO CAVALCANTE BRAGA","23"
"AP","UNIAO","20"
"AP","ROBERTO MAIA","0"
"AP","PROCURADORIA-GERAL FEDERAL","0"
"AP","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"AP","CAIXA ECONOMICA FEDERAL - CEF","64"
"AP","ALBERTO CAVALCANTE BRAGA ","0"
"AP","PROCURADORIA-GERAL FEDERAL ","0"
"AP","ADVOGADO-GERAL DA UNIAO","23"
"AP","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","0"
"BA","HELIO HIRASAWA","0"
"BA","ALBERTO CAVALCANTE BRAGA","531"
"BA","UNIAO","82"
"BA","ROBERTO MAIA","0"
"BA","PROCURADORIA-GERAL FEDERAL","0"
"BA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"BA","CAIXA ECONOMICA FEDERAL - CEF","1530"
"BA","ALBERTO CAVALCANTE BRAGA ","0"
"BA","PROCURADORIA-GERAL FEDERAL ","0"
"BA","ADVOGADO-GERAL DA UNIAO","44"
"BA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","29"
"CE","HELIO HIRASAWA","0"
"CE","ALBERTO CAVALCANTE BRAGA","0"
"CE","UNIAO","155"
"CE","ROBERTO MAIA","2"
"CE","PROCURADORIA-GERAL FEDERAL","3"
"CE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"CE","CAIXA ECONOMICA FEDERAL - CEF","490"
"CE","ALBERTO CAVALCANTE BRAGA ","0"
"CE","PROCURADORIA-GERAL FEDERAL ","0"
"CE","ADVOGADO-GERAL DA UNIAO","146"
"CE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","16"
"DF","HELIO HIRASAWA","0"
"DF","ALBERTO CAVALCANTE BRAGA","399"
"DF","UNIAO","833"
"DF","ROBERTO MAIA","0"
"DF","PROCURADORIA-GERAL FEDERAL","1"
"DF","PROCURADORIA-GERAL DA FAZENDA NACIONAL","3"
"DF","CAIXA ECONOMICA FEDERAL - CEF","1440"
"DF","ALBERTO CAVALCANTE BRAGA ","0"
"DF","PROCURADORIA-GERAL FEDERAL ","0"
"DF","ADVOGADO-GERAL DA UNIAO","812"
"DF","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","61"
"ES","HELIO HIRASAWA","0"
"ES","ALBERTO CAVALCANTE BRAGA","0"
"ES","UNIAO","43"
"ES","ROBERTO MAIA","0"
"ES","PROCURADORIA-GERAL FEDERAL","0"
"ES","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"ES","CAIXA ECONOMICA FEDERAL - CEF","233"
"ES","ALBERTO CAVALCANTE BRAGA ","0"
"ES","PROCURADORIA-GERAL FEDERAL ","0"
"ES","ADVOGADO-GERAL DA UNIAO","27"
"ES","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","36"
"GO","HELIO HIRASAWA","0"
"GO","ALBERTO CAVALCANTE BRAGA","51"
"GO","UNIAO","52"
"GO","ROBERTO MAIA","0"
"GO","PROCURADORIA-GERAL FEDERAL","0"
"GO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"GO","CAIXA ECONOMICA FEDERAL - CEF","164"
"GO","ALBERTO CAVALCANTE BRAGA ","0"
"GO","PROCURADORIA-GERAL FEDERAL ","0"
"GO","ADVOGADO-GERAL DA UNIAO","14"
"GO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","49"
"MA","HELIO HIRASAWA","0"
"MA","ALBERTO CAVALCANTE BRAGA","91"
"MA","UNIAO","18"
"MA","ROBERTO MAIA","0"
"MA","PROCURADORIA-GERAL FEDERAL","1"
"MA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"MA","CAIXA ECONOMICA FEDERAL - CEF","410"
"MA","ALBERTO CAVALCANTE BRAGA ","0"
"MA","PROCURADORIA-GERAL FEDERAL ","0"
"MA","ADVOGADO-GERAL DA UNIAO","18"
"MA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","2"
"MG","HELIO HIRASAWA","0"
"MG","ALBERTO CAVALCANTE BRAGA","5717"
"MG","UNIAO","374"
"MG","ROBERTO MAIA","1"
