"uf","litigante","processos"
"AC","HELIO HIRASAWA","0"
"AC","ALBERTO CAVALCANTE BRAGA","0"
"AC","UNIAO","7"
"AC","ROBERTO MAIA","0"
"AC","PROCURADORIA-GERAL FEDERAL","5"
"AC","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"AC","CAIXA ECONOMICA FEDERAL - CEF","0"
"AC","ALBERTO CAVALCANTE BRAGA ","0"
"AC","PROCURADORIA-GERAL FEDERAL ","0"
"AC","ADVOGADO-GERAL DA UNIAO","6"
"AC","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","0"
"AL","HELIO HIRASAWA","0"
"AL","ALBERTO CAVALCANTE BRAGA","0"
"AL","UNIAO","86"
"AL","ROBERTO MAIA","0"
"AL","PROCURADORIA-GERAL FEDERAL","12"
"AL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","13"
"AL","CAIXA ECONOMICA FEDERAL - CEF","3"
"AL","ALBERTO CAVALCANTE BRAGA ","0"
"AL","PROCURADORIA-GERAL FEDERAL ","0"
"AL","ADVOGADO-GERAL DA UNIAO","70"
"AL","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","11"
"AM","HELIO HIRASAWA","0"
"AM","ALBERTO CAVALCANTE BRAGA","0"
"AM","UNIAO","14"
"AM","ROBERTO MAIA","0"
"AM","PROCURADORIA-GERAL FEDERAL","9"
"AM","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"AM","CAIXA ECONOMICA FEDERAL - CEF","0"
"AM","ALBERTO CAVALCANTE BRAGA ","0"
"AM","PROCURADORIA-GERAL FEDERAL ","0"
"AM","ADVOGADO-GERAL DA UNIAO","11"
"AM","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","4"
"AP","HELIO HIRASAWA","0"
"AP","ALBERTO CAVALCANTE BRAGA","0"
"AP","UNIAO","2"
"AP","ROBERTO MAIA","0"
"AP","PROCURADORIA-GERAL FEDERAL","2"
"AP","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"AP","CAIXA ECONOMICA FEDERAL - CEF","0"
"AP","ALBERTO CAVALCANTE BRAGA ","0"
"AP","PROCURADORIA-GERAL FEDERAL ","0"
"AP","ADVOGADO-GERAL DA UNIAO","2"
"AP","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","0"
"BA","HELIO HIRASAWA","0"
"BA","ALBERTO CAVALCANTE BRAGA","2"
"BA","UNIAO","72"
"BA","ROBERTO MAIA","0"
"BA","PROCURADORIA-GERAL FEDERAL","108"
"BA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","21"
"BA","CAIXA ECONOMICA FEDERAL - CEF","44"
"BA","ALBERTO CAVALCANTE BRAGA ","0"
"BA","PROCURADORIA-GERAL FEDERAL ","0"
"BA","ADVOGADO-GERAL DA UNIAO","42"
"BA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","18"
"CE","HELIO HIRASAWA","0"
"CE","ALBERTO CAVALCANTE BRAGA","0"
"CE","UNIAO","88"
"CE","ROBERTO MAIA","0"
"CE","PROCURADORIA-GERAL FEDERAL","31"
"CE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","18"
"CE","CAIXA ECONOMICA FEDERAL - CEF","6"
"CE","ALBERTO CAVALCANTE BRAGA ","0"
"CE","PROCURADORIA-GERAL FEDERAL ","0"
"CE","ADVOGADO-GERAL DA UNIAO","58"
"CE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","20"
"DF","HELIO HIRASAWA","0"
"DF","ALBERTO CAVALCANTE BRAGA","2"
"DF","UNIAO","732"
"DF","ROBERTO MAIA","0"
"DF","PROCURADORIA-GERAL FEDERAL","206"
"DF","PROCURADORIA-GERAL DA FAZENDA NACIONAL","122"
"DF","CAIXA ECONOMICA FEDERAL - CEF","45"
"DF","ALBERTO CAVALCANTE BRAGA ","0"
"DF","PROCURADORIA-GERAL FEDERAL ","0"
"DF","ADVOGADO-GERAL DA UNIAO","1549"
"DF","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","69"
"ES","HELIO HIRASAWA","0"
"ES","ALBERTO CAVALCANTE BRAGA","0"
"ES","UNIAO","39"
"ES","ROBERTO MAIA","0"
"ES","PROCURADORIA-GERAL FEDERAL","39"
"ES","PROCURADORIA-GERAL DA FAZENDA NACIONAL","11"
"ES","CAIXA ECONOMICA FEDERAL - CEF","1"
"ES","ALBERTO CAVALCANTE BRAGA ","0"
"ES","PROCURADORIA-GERAL FEDERAL ","0"
"ES","ADVOGADO-GERAL DA UNIAO","20"
"ES","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","51"
"GO","HELIO HIRASAWA","0"
"GO","ALBERTO CAVALCANTE BRAGA","0"
"GO","UNIAO","92"
"GO","ROBERTO MAIA","0"
"GO","PROCURADORIA-GERAL FEDERAL","34"
"GO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","19"
"GO","CAIXA ECONOMICA FEDERAL - CEF","2"
"GO","ALBERTO CAVALCANTE BRAGA ","0"
"GO","PROCURADORIA-GERAL FEDERAL ","0"
"GO","ADVOGADO-GERAL DA UNIAO","64"
"GO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","7"
"MA","HELIO HIRASAWA","0"
"MA","ALBERTO CAVALCANTE BRAGA","0"
"MA","UNIAO","19"
"MA","ROBERTO MAIA","0"
"MA","PROCURADORIA-GERAL FEDERAL","14"
"MA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","3"
"MA","CAIXA ECONOMICA FEDERAL - CEF","1"
"MA","ALBERTO CAVALCANTE BRAGA ","0"
"MA","PROCURADORIA-GERAL FEDERAL ","0"
